 wavelength,Qext,Qscat,Qabs,
 2.00000E-07, 2.54261E-01, 5.59888E-03, 2.48662E-01,
 2.01000E-07, 2.53532E-01, 5.48454E-03, 2.48048E-01,
 2.02000E-07, 2.52821E-01, 5.37330E-03, 2.47447E-01,
 2.03000E-07, 2.52126E-01, 5.26506E-03, 2.46861E-01,
 2.04000E-07, 2.51448E-01, 5.15971E-03, 2.46288E-01,
 2.05000E-07, 2.50785E-01, 5.05713E-03, 2.45728E-01,
 2.06000E-07, 2.50138E-01, 4.95723E-03, 2.45181E-01,
 2.07000E-07, 2.49506E-01, 4.85992E-03, 2.44647E-01,
 2.08000E-07, 2.48889E-01, 4.76510E-03, 2.44124E-01,
 2.09000E-07, 2.48286E-01, 4.67270E-03, 2.43614E-01,
 2.10000E-07, 2.47698E-01, 4.58264E-03, 2.43116E-01,
 2.11000E-07, 2.47125E-01, 4.49484E-03, 2.42630E-01,
 2.12000E-07, 2.46565E-01, 4.40925E-03, 2.42156E-01,
 2.13000E-07, 2.46020E-01, 4.32577E-03, 2.41694E-01,
 2.14000E-07, 2.45489E-01, 4.24436E-03, 2.41244E-01,
 2.15000E-07, 2.44972E-01, 4.16496E-03, 2.40807E-01,
 2.16000E-07, 2.44469E-01, 4.08750E-03, 2.40382E-01,
 2.17000E-07, 2.43981E-01, 4.01193E-03, 2.39969E-01,
 2.18000E-07, 2.43507E-01, 3.93820E-03, 2.39569E-01,
 2.19000E-07, 2.43047E-01, 3.86626E-03, 2.39181E-01,
 2.20000E-07, 2.42602E-01, 3.79605E-03, 2.38806E-01,
 2.21000E-07, 2.42171E-01, 3.72753E-03, 2.38443E-01,
 2.22000E-07, 2.41754E-01, 3.66065E-03, 2.38094E-01,
 2.23000E-07, 2.41352E-01, 3.59538E-03, 2.37757E-01,
 2.24000E-07, 2.40965E-01, 3.53167E-03, 2.37434E-01,
 2.25000E-07, 2.40594E-01, 3.46948E-03, 2.37124E-01,
 2.26000E-07, 2.40237E-01, 3.40877E-03, 2.36828E-01,
 2.27000E-07, 2.39896E-01, 3.34952E-03, 2.36546E-01,
 2.28000E-07, 2.39570E-01, 3.29167E-03, 2.36278E-01,
 2.29000E-07, 2.39260E-01, 3.23521E-03, 2.36025E-01,
 2.30000E-07, 2.38967E-01, 3.18011E-03, 2.35787E-01,
 2.31000E-07, 2.38689E-01, 3.12632E-03, 2.35563E-01,
 2.32000E-07, 2.38429E-01, 3.07384E-03, 2.35355E-01,
 2.33000E-07, 2.38185E-01, 3.02263E-03, 2.35163E-01,
 2.34000E-07, 2.37959E-01, 2.97267E-03, 2.34986E-01,
 2.35000E-07, 2.37750E-01, 2.92394E-03, 2.34826E-01,
 2.36000E-07, 2.37559E-01, 2.87643E-03, 2.34683E-01,
 2.37000E-07, 2.37386E-01, 2.83011E-03, 2.34556E-01,
 2.38000E-07, 2.37230E-01, 2.78498E-03, 2.34445E-01,
 2.39000E-07, 2.37092E-01, 2.74101E-03, 2.34351E-01,
 2.40000E-07, 2.36971E-01, 2.69821E-03, 2.34273E-01,
 2.41000E-07, 2.36866E-01, 2.65656E-03, 2.34210E-01,
 2.42000E-07, 2.36775E-01, 2.61606E-03, 2.34159E-01,
 2.43000E-07, 2.36699E-01, 2.57669E-03, 2.34122E-01,
 2.44000E-07, 2.36630E-01, 2.53847E-03, 2.34092E-01,
 2.45000E-07, 2.36570E-01, 2.50137E-03, 2.34068E-01,
